text,tema_real,cluster,x,y
La Juzgado evaluó el conflicto por reconocimiento de prestaciones sociales. Referencia: Ley 1098 de 2006.,laboral,2,5.6141744,-5.010839
Se requiere asesoría para proteger derechos de población migrante y mecanismos de protección. Referencia: Ley 1010 de 2006.,migratorio,4,-9.3668585,7.699767
La Inspección del Trabajo ordenó medidas de protección por violencia intrafamiliar. Referencia: Ley 1448 de 2011.,familia,0,1.5038303,-7.890258
La persona migrante solicita orientación sobre regularización y acceso a rutas de atención en Barranquilla. Referencia: Ley 1010 de 2006.,migratorio,4,-11.983467,5.6532946
"Se tramita proceso de alimentos, custodia y regulación de visitas. Referencia: Ley 1257 de 2008.",familia,4,-4.8868284,12.356724
Se presentó recurso por incumplimiento contractual y reclamación de perjuicios. Referencia: Ley 1098 de 2006.,civil,3,2.097826,3.062893
Se presentó tutela por incumplimiento contractual y reclamación de perjuicios. Referencia: Ley 1010 de 2006.,civil,3,2.5258765,2.1577928
La Inspección del Trabajo imputó cargos por hurto y solicitó medida de aseguramiento. Referencia: Ley 1098 de 2006.,penal,0,2.0106354,-1.9826288
El litigio civil versa sobre responsabilidad extracontractual y reparación integral. Referencia: Ley 1098 de 2006.,civil,3,4.5343947,8.907668
Se alega acoso laboral y se solicita reintegro por estabilidad reforzada. Referencia: Ley 1098 de 2006.,laboral,1,13.697883,-5.7004094
Se analiza la filiación y el interés superior del menor conforme a Ley 1257 de 2008. Referencia: Ley 1098 de 2006.,familia,2,7.7945447,2.523191
La Inspección del Trabajo ordenó medidas de protección por violencia intrafamiliar. Referencia: Ley 1257 de 2008.,familia,0,1.1132705,-8.061373
El trabajador interpuso denuncia por despido sin justa causa y salarios caídos. Referencia: Ley 1010 de 2006.,laboral,1,12.712365,-1.8756479
